Incident_ID,Date,Quarter,School,City,State,School_Level,Location,Location_Type,During_School,Time_Period,First_Shot,Summary,Narrative,Situation,Targets,Accomplice,Hostages,Barricade,Officer_Involved,Bullied,Domestic_Violence,Gang_Related,Preplanned,Shots_Fired,Shots-Fired Category ,Active_Shooter_FBI
19700105DCUNW,05/01/1970,Winter,Unnamed High School,Washington,DC,High,Playground,Outside on School Property,Yes,,,Student shot at twice during attempted robbery on playground,"Group of 10 teens attempted to rob a 16 year-old male student on school playground. When victim ran, unknown teen suspect fired 2 shots that missed. Shooter fled the scene.",Illegal Activity,Victims Targeted,Yes,No,No,No,No,No,No,No,2.00,<5,
19700105DCSOW,05/01/1970,Winter,Sousa Junior High,Washington,DC,Junior High,Hallway,Inside School Building,Yes,,,Occurred during horseplay in the school,"14 year-old male student shot during ""horseplay"" in the school hallway. Friend of the victim who fired the gun surrendered to police.",Accidental,Random Shooting,No,No,No,No,No,No,No,No,1.00,<5,
19700105DCHIW,05/01/1970,Winter,Hine Junior High School,Washington,DC,High,Inside School Building,Inside School Building,Yes,,,"Didn't know how to operate pistol, cocked hammer and couldn't get it to safely release causing accidental discharge",Student showing off gun cocked hammer and could not get it to release causing accidental discharge and killing 15 year-old male student. Gave gun to another student after the shooting and told police that he and the victim had been attacked by an unknown male.,Accidental,Random Shooting,Yes,No,No,No,No,No,No,No,1.00,<5,
19700206OHJOC,06/02/1970,Winter,John F. Kennedy High School,Cleveland,OH,High,Hallway,Inside School Building,Yes,,,Argument in school hallway escalated into shooting,Argument between shooter and victim escalated into shooting in school hallway.,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,4.00,<5,
19700323CADAL,23/03/1970,Spring,David Starr Jordan High School,Long Beach,CA,High,Beside Building,Outside on School Property,No,Night,,Teens fired at security guard who returned fire injuring one,Group of teens fired shots at the night time security guard who fired back injuring one of them. No motive known.,Illegal Activity,Neither,Yes,No,No,No,No,No,No,No,<10,<10,
19700415ARPIP,15/04/1970,Spring,Pine Bluff Coleman High School,Pine Bluff,AR,High,Cafeteria,Inside School Building,Yes,Lunch,12:00:00,6 gunmen chased student into cafeteria firing weapons,Six different armed gunmen chased a student into the cafeteria. Student had a gun and was firing back at the group of gunmen. Multiple shots were fired in the cafeteria striking 7 people. All of the shooters fled the scene and 8 were charged with shooting with the intent to kill.,Escalation of Dispute,Both,Yes,No,No,No,No,No,Yes,No,>20,>10,
19700422DEPIW,22/04/1970,Spring,Pierre S. Dupont High School,Wilmington,DE,High,Hallway,Inside School Building,Yes,Morning Classes,09:00:00,Ongoing fight between the students escalated into shooting in school hallway,Personal feud between the students escalated into a 16 year-old male student shooting a 18 year-old male student in the hallway of the school. Shooter fled the scene.,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,1.00,<5,
19700508FLCAD,08/05/1970,Spring,Carver High School,Delray Beach,FL,High,Inside School Building,Inside School Building,Yes,Morning Classes,10:00:00,Shooting after previous fight at pool hall,Shooter and victim had previous fight at pool hall. Shooter confronted victim in the school building and fired once injuring him. ,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,1.00,<5,
19700515UTBEO,15/05/1970,Spring,Ben Lomond High School,Ogden,UT,High,Hallway,Inside School Building,Yes,,,"Showing off gun in hallway, fired two shots striking teacher and student",Shooter was showing off gun to students in the hallway. Pointed the gun at multiple students and at his own head saying he was going to kill himself. Fired two shots striking a teacher and a student. Claimed the shooting was accidental. Committed for psychiatric examination and sentenced to youth facility until turning 21.,Suicide/Attempted,Random Shooting,No,No,No,No,,No,No,No,2.00,<5,
19700828TXRIE,28/08/1970,Summer,Riverside High School,El Paso,TX,High,Outside on School Property,Outside on School Property,Yes,Lunch,00:00:00,Fight between students in parking lot escalated into shooting,Fight between 4 students in the parking lot escalated into a shooting. Two students fired guns and one was injured.,Escalation of Dispute,Victims Targeted,Yes,No,No,No,No,No,No,No,<10,<10,
19700831FLALM,31/08/1970,Summer,Allapatah Elementary School,Miami,FL,Elementary,Inside School Building,Inside School Building,Yes,Dismissal,,Father (Cuban exile) killed by gunman at school,Father (Cuban exile) killed inside school while picking up child by a 27 year-old male gunman. The shooting occurred on the first day the school was integrated.,Racial,Victims Targeted,No,No,No,No,No,No,No,No,,N/A,
19700914TNHAN,14/09/1970,Fall,Hamilton High School,Nashville,TN,High,Hallway,Inside School Building,Yes,,,Shooting followed fight the previous week at school dance,Shooter fired rifle in school hallway at target (he had previous fight with victim) and injured two other students (bystanders). ,Escalation of Dispute,Both,No,No,No,No,No,No,No,No,,N/A,
19700924IDMEM,24/09/1970,Fall,Meridian High School,Meridian ,ID,High,Parking Lot,Outside on School Property,,,,Accidentally fired gun inside car,Victim was sitting in car with other occupant who was holding gun. Gun accidentally fired shooting and killing victim.,Accidental,Random Shooting,No,No,,No,No,No,No,No,1.00,<5,No
19700928IACED,28/09/1970,Fall,Central High School,Davenport,IA,High,Bathroom,Inside School Building,Yes,,,Fired shot at female student in restroom,Shooter kicked in door of women's bathroom and fired shot at an unidentified female student. Shooter fled and turned himself in 4 days later.,Domestic w/ Targeted Victim,Victims Targeted,No,No,No,No,No,Yes,No,No,1.00,<5,
19701005MIPOD,05/10/1970,Fall,Pontiac Central High School,Detroit,MI,High,Outside on School Property,Outside on School Property,Yes,,,Fight between 4 white and 4 black students escalated into shooting,Fight between 4 white and 4 black students escalated into a shooting. School officials would not comment but said that classes remained in normal session. All injured were juvenile students.,Racial,Victims Targeted,Yes,No,No,No,No,No,No,No,,N/A,
19701019TNBOM,19/10/1970,Fall,Booker T. Washington High School,Memphis,TN,High,Inside School Building,Inside School Building,Yes,,,Argument over girl that has escalated over 2 days,Ongoing argument over girls escalated into a targeted shooting.,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,,N/A,
19701020TNWAN,20/10/1970,Fall,Washington Junior High School,Nashville,TN,Junior High,Hallway,Inside School Building,Yes,Lunch,12:00:00,Hallway monitor shot by another student,Hallways monitor (student) was shot by another student in the hallway,Unknown,Victims Targeted,No,No,No,No,No,No,No,No,1.00,<5,
19701027OHAPM,27/10/1970,Fall,Appleseed Junior High School,Mansfield,OH,Junior High,Bathroom,Inside School Building,Yes,Morning Classes,08:30:00,Shot victim in the bathroom,13 year-old male student (Frank Bonham) shot a 15 year-old male student (Robert Goodman) in the school bathroom. Ongoing dispute between the students.,Escalation of Dispute,Victims Targeted,No,No,No,No,,No,No,No,1.00,<5,
19701120ILHAC,20/11/1970,Fall,Harlan High School,Chicago,IL,High,Inside School Building,Inside School Building,Yes,,,Gang recruitment related,15 year-old male shooter fired shots striking a 15 year-old male (Kenneth House) and 14 year-old female (Portia Walls) victim as part of gang recruitment. Shooter feld and was later arrested.,Illegal Activity,,Unknown,No,No,No,No,No,Yes,No,,N/A,
19701212WIXAA,12/12/1970,Winter,Xavier High School,Appleton,WI,High,Inside School Building,Inside School Building,No,Night,23:55:00,Police officer shot suspect during attempted burglary at school,Police officer shot and killed a 42 year-old male during an attempted burglary at the school. Ruled justified homicide.,Illegal Activity,Neither,No,No,No,Yes,No,No,No,N/A,1.00,<5,N/A
19710202PAMOP,02/02/1971,Winter,Morris E. Leeds Middle School,Philadelphia,PA,Middle,Outside on School Property,Outside on School Property,No,,,Student shot teacher who had suspended him earlier in the day for cursing in the hallway,56 year-old male teacher was shot while leaving school by student he had suspended earlier in the day,Anger Over Grade/Suspension/Discipline,Victims Targeted,No,No,No,No,No,No,No,Yes,1.00,<5,
19710205PAJOW,05/02/1971,Winter,John F. Kennedy High School,Willingboro,PA,High,ND,ND,Yes,Unknown,,Shooter shot and stabbed victim,14 year-old male student shot and stabbed a 13 year-old male victim.,Escalation of Dispute,Victims Targeted,No,No,No,No,,,No,No,,N/A,
19710210TXOAD,10/02/1971,Winter,Oak Cliff High School,Dallas,TX,High,Outside on School Property,Outside on School Property,Yes,,,Shooter fired shotgun at a student in a crowd of 200 students,Shooter and intended target had an argument prior to the shooting. Shooter fired a shot into the air and a second shot at the intended target in a group of students. Two other students sustained injuries from shotgun pellets.,Escalation of Dispute,Both,Yes,No,No,No,No,No,No,No,2.00,<5,
19710225OHFRC,25/02/1971,Winter,Franklin D. Roosevelt Junior High School,Cleveland,OH,Junior High,Bathroom,Inside School Building,Yes,,,Victim shot 5 times in the head in the school bathroom,Student shot 5 times in the head in a school bathroom. Rifle was later found in a locker. 4 students were charged in connection with the shooting.,Escalation of Dispute,Victims Targeted,Yes,No,No,No,,No,No,No,5.00,<5,
19710309AZROT,09/03/1971,Spring,Roskruge Junior High School,Tucson,AZ,Junior High,Playground,Outside on School Property,Yes,,,"Showing pistol on playground, accidental discharge struck other student",Student was showing off a pistol on the playground (student was already on parole from youth corrections center). Gun discharged while handling it and struck another student in the arm.,Accidental,Random Shooting,No,No,No,No,No,No,No,No,1.00,<5,
19710405PAWIH,05/04/1971,Spring,William Penn High School,Harrisburg,PA,High,Cafeteria,Inside School Building,Yes,,,Fired 5 shots at ex-girlfriend in classroom,17 year-old male fired 5 shots at ex-girlfriend in classroom. She suffered minor wounds.,Domestic w/ Targeted Victim,Victims Targeted,No,No,No,No,No,Yes,No,No,5.00,<5,
19710527MIBES,27/05/1971,Spring,Benton Harbor High School,Saint Joseph,MI,High,Inside School Building,Inside School Building,Yes,,,Shooter provoked into shooting,17 year-old male shot 16 year-old male at the school. Judge ruled that the victim had provoked the shooter into eventually attacking him. Shooter was sentenced to 7 days in jail. Shooter was excellent student.,Bullying,Victims Targeted,No,No,No,No,Yes,No,No,No,1.00,<5,
19710602NYEAE,02/06/1971,Summer,East Aurora Middle School,East Aurora,NY,Middle,Classroom,Inside School Building,Yes,Afternoon Classes,,Fatally wounded self from accidental discharge,13 year-old male fatally shot when gun he was handling in classroom at school accidentally discharged killing him.,Accidental,Neither,No,No,No,No,No,No,No,No,1.00,<5,
19710820PAMOM,20/08/1971,Summer,Monessen High School,Monessen,PA,High,Outside on School Property,Outside on School Property,No,Night,,Night watchman (white) shot black student,72 year-old male night watchman shot a 18 year-old male black student. Shooting spurred days of protests by black students and residents.,Racial,Victims Targeted,No,No,No,Yes,No,No,No,No,<10,<10,
19710909TXDUL,09/09/1971,Fall,Dunbar High School,Lubbock,TX,High,Inside School Building,Inside School Building,Yes,School Start,,"Following argument, shooter went home to get gun and returned to kill other student","Shooter had argument with victim and left school to get handgun. Shooter returned to school and killed the victim. Shooter was white and victim was black, school had been recently integrated.",Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,10.00,<10,
19710924NYMCB,24/09/1971,Fall,McKinley Vocational High School,Buffalo,NY,High,Classroom,Inside School Building,Yes,,,Argument escalated into shooting inside classroom,Argument between students in a classroom escalated into shooting.,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,<5,<5,
19710928MNCEM,28/09/1971,Fall,Central High School,Minneapolis,MN,High,Inside School Building,Inside School Building,Yes,Lunch,12:00:00,Group of armed assailants chased student through cafeteria firing shots,Group of armed assailants chased a student through the cafeteria. Multiple shots were fired but no students were injured. Shooters and targeted victim had prior conflict.,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,,N/A,
19710929VAPEP,29/09/1971,Fall,Peabody Junior High School,Petersburg,VA,Junior High,Classroom,Inside School Building,Yes,,,Ran into math class and fired 4 shots before being subdued,14 year-old male student ran into math class with pistol firing 4 shots before being subdued by teacher and other students. Shots injured 2 students and killed one other. School was recently desegregated but that did not appear to be a factor.,Indiscriminate Shooting,Random Shooting,No,No,No,No,,No,No,No,4.00,<5,Yes
19711028MDCIB,28/10/1971,Fall,City College High School,Baltimore,MD,High,Hallway,Inside School Building,Yes,Lunch,11:50:00,Shot during argument in stairwell,19 year-old male student shot after bumping into shooter in the stairwell resulting in an argument that turned into a shooting.,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,2.00,<5,
19711029MDFRB,29/10/1971,Fall,Frederick Douglass High School,Baltimore,MD,High,Parking Lot,Outside on School Property,No,Dismissal,15:00:00,2 student hit in crossfire of fight that escalated into shooting in the parking lot,Students hit in the crossfire during fight between other students in the parking lot.,Escalation of Dispute,Random Shooting,Yes,No,No,No,No,No,No,No,<10,<10,
19711029MDFOB,29/10/1971,Fall,Forest Park High School,Baltimore,MD,High,Beside Building,Outside on School Property,Yes,Lunch,11:55:00,"Rifle fired during fight over craps game, struck uninvolved student",Dispute over craps game behind school during lunch. Rifle was fired and bullet struck uninvolved student.,Escalation of Dispute,Neither,No,No,No,No,No,No,No,No,1.00,<5,
19711103NMCAC,03/11/1971,Fall,Carlsbad Mid-High School,Carlsbad,NM,45266,Other,Inside School Building,Yes,Morning Classes,10:19:00,Shooter fired from 3rd floor tower at random victims,"Shooter (mental patient/former student) climbed into 3rd floor tower, barricaded himself inside and shot randomly for two hours. No known reason for rampage. Shooter had previously been committed to a mental institution.",Psychosis,Random Shooting,No,No,Yes,No,No,No,No,No,20.00,>10,Yes
19711108OKGRT,08/11/1971,Fall,Grove Elementary School,Tulsa,OK,Elementary,Other,Inside School Building,Yes,Morning Classes,09:00:00,"Shooting in janitor's closet, long standing feud",Principal killed in janitor's closet by custodian. Long standing feud between the two men.,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,3.00,<5,
19711124MDEDB,24/11/1971,Fall,Edmondson Senior High School,Baltimore,MD,High,Parking Lot,Outside on School Property,Yes,Afternoon Classes,14:27:00,Shooter shot victim after ongoing argument,"Shooter and suspect had gotten into argument earlier at school. Shooter later went home and retrieved a handgun. Shooter later saw victim in school parking lot. Shooter claimed after victim swung his fists at him, shooter shot victim three times. Victim later died. Suspect caught and charged.",Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,5.00,<5,
19711206CALOL,06/12/1971,Winter,Louis Stevenson Junior High School,Los Angeles,CA,Junior High,Gym,Inside School Building,Yes,,,"Shooting between rival gang members, 2 bystander/students hit",2 gang members shot at 2 other gang members outside of gym (all students). Two girls were struck in the crossfire.,Escalation of Dispute,Both,Unknown,No,No,No,No,No,Yes,No,,N/A,
19711213MDCAB,13/12/1971,Winter,Carver Vocational High School,Baltimore,MD,High,Classroom,Inside School Building,Yes,Morning Classes,08:18:00,Argument over payment for craps game,Shooter demanded that victim pay him for debt from craps game. Victim refused and shooter fired at him in classroom then chased him into hallway shooting him 2 more times. Shooter fled the scene.,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,3.00,<5,
19720105DCPAW,05/01/1972,Winter,Parkview Elementary School,Washington,DC,Elementary,Classroom,Inside School Building,Yes,Morning Classes,09:30:00,"Husband came to school where his wife worked as teacher. Chased her through school, shot, and killed her.","Entered classroom and pulled out long .22 caliber pistol - teacher - his wife, ran. he caught up to her but she broke away and entered another teacher's classroom. That teacher was able to get most of the students out before he shot and killed her. Was tackled by other male teachers and held for police. ",Domestic w/ Targeted Victim,Victims Targeted,No,No,No,No,No,Yes,No,No,2.00,<5,
19720124OHSTS,24/01/1972,Winter,Stow High School,Stow,OH,High,Classroom,Inside School Building,Yes,Morning Classes,10:00:00,"Student shot teacher, put down gun, walked outside","During chemistry quiz, student shot teacher, put down gun, walked outside, and sat under a tree before being detained. Teacher recovered from injuries. Possible motive given was teacher constantly giving low grade for quizzes.",Anger Over Grade/Suspension/Discipline,Victims Targeted,No,No,No,No,No,No,No,No,1.00,<5,
19720126MDHAB,26/01/1972,Winter,Harlem Park Junior High School,Baltimore,MD,Junior High,Beside Building,Outside on School Property,No,Dismissal,14:45:00,Argument outside school at dismissal,Student shot by classmate during argument outside of school during dismissal while trying to break up fight between two other students. Sustained severe spine and lung injuries. Second student hospitalized from being hit in the head with a brick.,Escalation of Dispute,Victims Targeted,Unknown,No,No,No,,No,No,No,1.00,<5,
19720126MDGWB,26/01/1972,Winter,Gwynn Falls Junior High School,Baltimore,MD,Junior High,Cafeteria,Inside School Building,Yes,Afternoon Classes,13:55:00,Student playing with gun in cafeteria,Students playing with gun in the cafeteria. Accidental discharge injuring one student.,Accidental,Random Shooting,No,No,No,No,No,No,No,No,1.00,<5,
19720214ILCAC,14/02/1972,Winter,Camlumet High School,Chicago,IL,High,Outside on School Property,Outside on School Property,Yes,Dismissal,,Gang related fight outside of school,Student shot during street gang fight outside of school.,Escalation of Dispute,Victims Targeted,Yes,No,No,No,No,No,Yes,No,,N/A,
19720215ILKEC,15/02/1972,Winter,Kenwood High School,Chicago,IL,High,Inside School Building,Inside School Building,No,Night,,Security guard shot trespasser,21 year-old male trespassing at school was shot by an off-duty police officer working as a security guard. Victim displayed a pistol before being shot by the officer.,Illegal Activity,Victims Targeted,No,No,No,Yes,N/A,N/A,N/A,N/A,,N/A,N/A
19720228CAMAL,28/02/1972,Winter,Markham Junior High School,Los Angeles,CA,Junior High,Inside School Building,Inside School Building,Yes,,,Showing off gun and it accidental discharged striking other student,14 year-old male was showing off pistol when it accidentally discharged striking another student.,Accidental,Random Shooting,No,No,No,No,No,No,No,No,1.00,<5,
19720313TXUNH,13/03/1972,Spring,Unnamed Junior High School,Houston,TX,Junior High,Classroom,Inside School Building,Yes,,,Pistol discharged while showing it off in classroom,15 year-old male was showing off pistol to group of 25 students in crowded classroom. Gun accidentally discharged injuring another student.,Accidental,Neither,No,No,No,No,No,No,No,No,1.00,<5,
19720412LAEAG,12/04/1972,Spring,East Ascension Junior High,Gonzales,LA,Junior High,Inside School Building,Inside School Building,Yes,After School,,"Domestic, shot wife who was teacher then shoots, kills himself",Husband entered school and shot wife. Shooter then turned the gun on himself and commit suicide. Wife survived.,Domestic w/ Targeted Victim,Victims Targeted,No,No,No,No,No,Yes,No,No,2.00,<5,
19720504NVLIR,04/05/1972,Spring,Libby Booth Elementary School,Reno,NV,Elementary,Office,Inside School Building,Yes,Lunch,12:00:00,Principal killed by teacher,Principal killed by teacher in his office during discussion of personnel issues.,Anger Over Grade/Suspension/Discipline,Victims Targeted,No,No,No,No,No,No,No,No,3.00,<5,
19720505INDEI,05/05/1972,Spring,Decatur Central High School,Indianapolis,IN,High,Field (General),Outside on School Property,Yes,Afternoon Classes,13:30:00,"Sister shot brother, declared to be insane",Sister shot brother outside of school in front of 28 other students. Shot him once in the chest then put down the gun and laid in the grass. Declared insane during trial.,Psychosis,Victims Targeted,,No,No,No,No,No,No,No,1.00,<5,
19720914TXFRH,14/09/1972,Fall,Francis Scott Key Junior High,Houston,TX,Junior High,Hallway,Inside School Building,Yes,Morning Classes,12:00:00,Student shot teacher after being disciplined for slamming door.,"Student shot teacher in stomach after teacher disciplined student for slamming door. Student then went home, got gun and came back to school where he confronted teacher outside classroom and shot him. Student stated reason he shot teacher, ""he grabbed me and threw me on ground.""",Anger Over Grade/Suspension/Discipline,Victims Targeted,No,No,No,No,No,No,No,No,<10,<10,
19720915MISAS,15/09/1972,Fall,Saginaw High School,Saginaw,MI,High,Hallway,Inside School Building,Yes,Afternoon Classes,,Shot two students in hallway between classes,17 year-old male (Charles Bell) shot two students in the hallway between classes. Shooter fled the scene and turned himself into to police that night.,Escalation of Dispute,,No,No,No,No,,,,No,,N/A,
19720919TXCUH,19/09/1972,Fall,Cullen Junior High,Houston,TX,Junior High,Inside School Building,Inside School Building,No,School Start,,Husband shot wife after his attempts to reconcile marriage failed. ,Husband went to school to try and reconcile with wife. They got into an argument and he shot her 9 times w/.22 caliber. ,Domestic w/ Targeted Victim,Victims Targeted,No,No,No,No,No,Yes,No,No,9.00,<10,
19720921OHTHA,21/09/1972,Fall,Thorton Junior High,Akron,OH,Junior High,Classroom,Inside School Building,Yes,Dismissal,,Shooter attempted to rob teacher in classroom. Teacher fought back and was shot. ,Suspect entered victim's classroom shortly after class ended and demanded money - shooter hit victim in head with revolver - victim struggled with shooter and gun went off striking victim in arm - suspect fled and later caught,Illegal Activity,Victims Targeted,No,No,No,No,No,No,No,No,1.00,<5,
19721111CAJEL,11/11/1972,Fall,Jefferson High School,Los Angeles,CA,High,Football Field/Track,Outside on School Property,No,School Event,,Gang related shooting at homecoming parade,Gang members fired at other gang members aboard a homecoming float during homecoming parade injuring 5 students. The homecoming football game was cancelled as a result. Shooting was a retaliation for a previous attack.,Escalation of Dispute,Both,Yes,No,No,No,No,No,Yes,No,5.00,<5,
19721127MIPOP,27/11/1972,Fall,Pontiac Central High School,Pontiac,MI,High,Outside on School Property,Outside on School Property,Yes,,,Shooting was a possible lead up to starting a race riot. ,"Possible attempt to start a race riot, however, after shooting, no riot started. Several boys were questioned and one remained in custody as the shooter. ",Racial,Victims Targeted,No,No,No,No,No,No,No,Yes,Multiple,N/A,
19721129FLMIM,29/11/1972,Fall,Miami Northwest High School,Miami,FL,High,Off School Property,Off School Property,Yes,,,Dispute over hair comb escalated into shooting,Dispute over hair comb escalated into shooting of 17 year-old male student outside of school.,Escalation of Dispute,,No,No,No,No,No,No,No,No,<5,<5,
19730105NCSOS,05/01/1973,Winter,South Iredell High School,Statesville,NC,High,Basketball Court,Outside on School Property,No,Sport Event,,Racial tension between black and white students escalated into shooting.,Black student walked up to 4 white students after basketball game and shot them at close range. Unknown suspect,Racial,Victims Targeted,No,No,No,No,No,No,No,No,5.00,<5,
19730118CAJOL,18/01/1973,Winter,John Marshall High School,Los Angeles,CA,High,Parking Lot,Outside on School Property,No,Sport Event,,2 school guards shot investigating possible thefts from cars,"Two recent graduates hired as ""noon aides"" to keep order during school functions were shot in the parking lot during a basketball game while they were investigating reports of people breaking into cars. Two unnamed teens were booked for the shootings.",Illegal Activity,Victims Targeted,Yes,No,No,No,No,No,No,No,<10,<10,
19730131NCCUB,31/01/1973,Winter,Cumming High School,Burlington,NC,High,Inside School Building,Inside School Building,Yes,Lunch,12:00:00,Shot student who was police informant on drug deal involving brother,"Victim was police informant about drug deals at the school. Shooter's brother had been implicated by the victim. Shooter targeted the victim, shot him once in the back, and fled the scene. Shooter turned himself in the next day.",Illegal Activity,Victims Targeted,No,No,No,No,No,No,No,No,1.00,<5,
19730212ALBOM,12/02/1973,Winter,Booker T. Washington High School,Montgomery,AL,High,Gym,Inside School Building,No,Evening,17:15:00,Shooting in gym after school,19 year-old male ex-felon shot 15 year-old male student in the gym. No other details available.,Escalation of Dispute,,No,No,No,No,No,No,,No,1.00,<5,
19730226VAARR,26/02/1973,Winter,Armstrong High School,Richmond,VA,High,Inside School Building,Inside School Building,Yes,School Start,08:00:00,2 students caught between two youths in gun battle over a girl,"2 students caught between two youths in gun battle over a girl. Victims were a 17 year-old male (Wayne Phillips killed) and a 14 year-old female (Julia Gardner, injured in leg). One suspect later arrested and charged with murder. Second shooter was also being sought. ",Escalation of Dispute,Random Shooting,Yes,No,No,No,No,No,No,No,5.00,<5,
19730405CALOL,05/04/1973,Spring,Locke High School,Los Angeles,CA,High,ND,ND,Yes,,,Gang shooting with targeted victims,Three gang members fired 5 shots at victims.,Escalation of Dispute,Victims Targeted,Yes,No,No,No,No,No,Yes,No,5.00,<5,
19730501OHRAY,01/05/1973,Spring,Rayen High School,Youngtown,OH,High,Parking Lot,Outside on School Property,Yes,,,Argument over a girl,Shooter shot two boys and a girl stemming from argument about a girl. Took place in school parking lot,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,<5,<5,
19730928CAWIL,28/09/1973,Fall,Wilson High School,Los Angeles,CA,High,Beside Building,Outside on School Property,Yes,Morning Classes,10:30:00,"Shooter beaten by victims the previous day, pulled gun during fight","Shooter had been transferred from previous school for fight and suspended from current school. Shooter was beaten by a group of students the day prior. Shooter was in a fight outside with other students that was broken up by teacher. Shooter pulled gun and fired at other students he was fighting with, then was shot by the SRO.",Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,3.00,<5,
19731002ILELA,02/10/1973,Fall,Elmhurst Wood Park Community High School,Almwood Park,IL,High,Hallway; Beside Building,Both Inside/Outside,Yes,Afternoon Classes,,"Shot victim 4 times in hallway, fled the area, and shot himself outside school","17 year-old shooter fired 4 shots in school hallway at 16 year-old female victim, cursed at her body, fled the scene, and fatally shot himself outside of the school. Victim was a cheerleader and candidate for homecoming queen. Victim's friends said victim had no relationship with the shooter.",Murder/Suicide,Victims Targeted,No,No,No,No,No,Yes,No,No,5.00,<5,Yes
19731019MOBES,19/10/1973,Fall,Beaumont High School,St. Louis,MO,High,Inside School Building,Inside School Building,Yes,Dismissal,,Shooting occurred after an earlier fight between two groups of students,Gang violence. Unclear if victim was intended target,Escalation of Dispute,,No,No,No,No,No,No,Yes,No,,N/A,
19731023OHBAB,23/10/1973,Fall,Barberton High School,Barberton,OH,High,Office,Inside School Building,Yes,Lunch,12:00:00,Argument over absentee marks at school,Shooter walked into counselor's office after being summoned to discuss his absences. Student shot counselor then fled. Arrested later away from school. ,Anger Over Grade/Suspension/Discipline,Victims Targeted,No,No,No,No,No,No,No,No,3.00,<5,Yes
19731023MOSUS,23/10/1973,Fall,Sumner High School,St. Louis,MO,High,Parking Lot,Outside on School Property,Yes,Afternoon Classes,13:00:00,Escalation of gang violence between two groups,Car pulled up to a group of students standing outside car. One of the occupants in the car aimed a shotgun out the window and pulled the trigger striking a bystander. One of the boys in the group pulled out a .38 revolver and shot at the car three times. Several arrests were later made.,Escalation of Dispute,Random Shooting,Yes,No,No,No,No,No,Yes,No,4.00,<5,
19731024MNCEM,24/10/1973,Fall,Central High School,Minneapolis,MN,High,Outside on School Property,Outside on School Property,Yes,,,"Shotgun fired during fight over debt, hit bystander/student",Group of students were fighting over a $50 debt. 17 year-old male shooter pulled a sawed-off shotgun and fired striking an uninvolved bystander.,Escalation of Dispute,Both,Yes,No,No,No,No,No,No,No,1.00,<5,
19731031MONOS,31/10/1973,Fall,Northwestern High School,St. Louis,MO,High,Beside Building,Outside on School Property,Yes,,,Non-student shot by another non-student in the smoking area outside of the school,Non-student 18 year-old male shooter with a sawed-off shotgun shot a 17 year-old male non-student in the smoking area outside of the school. Armed security guards fired at the shooter who fled the area. Both were charged with trespassing.,Illegal Activity,Victims Targeted,No,No,No,No,No,No,,No,1.00,<5,
19731108ILWOC,08/11/1973,Fall,Woodell Phillips High School,Chicago,IL,High,Entryway,Inside School Building,Yes,Morning Classes,10:00:00,Shooter and victim fought a few days prior. Shooter brought gun to school and shot victim,Victim was shot by suspect in first floor school lobby. Shooting stemmed from earlier conflict. Shooter said he brought gun to school for protection and when he saw victim in hallway he shot him after victim pushed him. ,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,1.00,<5,
19731109CALOL,09/11/1973,Fall,Long Beach Polytechnic High School,Los Angeles,CA,High,Front of School,Outside on School Property,,,,Victims shot outside of school during drive by,"16 year-old female victim was with 7-month-old daughter outside of high school. Shooter fired from a vehicle striking both of them, killing the infant. Two teens were arrested.",Drive-by Shooting,,Yes,No,No,No,No,,Yes,No,3.00,<5,
19731206CAFRL,06/12/1973,Winter,Fremont High School,Los Angeles,CA,High,Hallway,Inside School Building,Yes,,,Shooter shot victim after being cornered,Argument between victim and another youth occurred when friends of the other youth cornered victim and shot him once in the liver. ,Escalation of Dispute,Victims Targeted,Yes,No,No,No,No,No,Yes,No,1.00,<5,
19731213OHHUC,13/12/1973,Winter,Hughes High School,Cincinnati,OH,High,Hallway,Inside School Building,Yes,Afternoon Classes,13:10:00,Witness intimidation after robbery,2 students had reported another student for theft and were testifying against him. The shooter fired at both students in the hallway striking another student in the leg. The principal did not report the shooting until that night and was charged with covering it up.,Illegal Activity,Both,Yes,No,No,No,No,No,No,No,3.00,<5,
