Incident_ID,Date,Quarter,School,City,State,School_Level,Location,Location_Type,During_School,Time_Period,First_Shot,Summary,Narrative,Situation,Targets,Accomplice,Hostages,Barricade,Officer_Involved,Bullied,Domestic_Violence,Gang_Related,Preplanned,Shots_Fired,Shots-Fired Category ,Active_Shooter_FBI
20051115FLPAM,15/11/2005,Fall,Parkway Academy Charter High School (bus),Miramar,FL,High,School Bus,School Bus,Yes,Before School,07:45:00,Shooter shot victim on bus due to earlier confrontation,Fight on a bus between 2 female students involved in ongoing conflict. 17YOF student shot another 17YOF student then fled the scene. She later turned herself in to police.,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,1.00,<5,
20051116TXIRS,16/11/2005,Fall,Irving Middle School,San Antonio,TX,Middle,Parking Lot,Outside on School Property,Yes,,,Officer killed burglary suspect in parking lot,Officer shot and killed burglary suspect in school parking lot. School locked down.,Illegal Activity,Victims Targeted,No,No,No,Yes,,,,,2.00,<5,
20051205MABOR,05/12/2005,Winter,Boston Day and Evening Academy (High School),Roxbury,MA,High,Bathroom,Inside School Building,Yes,Afternoon Classes,14:20:00,"Fight in bathroom, fired shots and missed then fled",17YOM was involved in fight in the bathroom of the school. Fired shots that missed other students. Fled the scene and later turned himself in the police.,Escalation of Dispute,Neither,No,No,No,No,No,No,No,No,2.00,<5,
20051206MICED,06/12/2005,Winter,Central High School,Detroit,MI,High,Hallway,Inside School Building,Yes,Afternoon Classes,13:30:00,Two non-students shot after entering school,"While the students were leaving the building for first dismissal, two non-students entered the building via a side door that students opened up for them. Unclear who fired shots and one of the non-students was shot.  Pepper spray was also discharged.  The wounded individual was taken to the hospital for treatment. Unknown shooter fled the scene.",Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,,No,<10,<10,
20051206CASAG,06/12/2005,Winter,Santiago High School,Garden Grove,CA,High,Football Field/Track,Outside on School Property,No,After School,15:00:00,Student killed by 5 members of rival gang,16YOM was shot and killed by 5 members of a rival gang near the school athletic field. Shooter fled and 5 males were later arrested.,Escalation of Dispute,Victims Targeted,Yes,No,No,No,No,No,Yes,No,1.00,<5,
20060103NJLIJ,03/01/2006,Winter,Lincoln High School,Jersey City,NJ,High,Beside Building,Outside on School Property,Yes,Dismissal,15:20:00,Shooting resulted from a large fight involving 40 students after school,Group of 40 student involved in a fight outside of the school. Dispute between different gangs (neighborhood cliques). Two students were injured by gunshots from an unknown shooter in the group.,Escalation of Dispute,,Unknown,No,No,No,No,No,Yes,No,,N/A,
20060110DEMOW,10/01/2006,Winter,Mount Pleasant High School,Wilmington,DE,High,Basketball Court,Outside on School Property,No,Sport Event,,16 year old victim shot in HS parking lot during fight with several students,Fight between several students in the parking lot during a basketball game. Related to prior fight. Shooter fled and was not identified.,Escalation of Dispute,Victims Targeted,Unknown,No,No,No,No,No,No,No,,N/A,
20060111WIMAM,11/01/2006,Winter,Mary McLeod Bethune Academy,Milwaukee,WI,K-8,Playground,Outside on School Property,Yes,Lunch,12:30:00,Nearby gunfire struck student on school playground (not targeted),Nearby gunfire struck student on playground. Police determined she was not targeted. No shooter identified.,Accidental,Random Shooting,Unknown,No,No,No,No,No,No,No,,N/A,
20060113MIOSD,13/01/2006,Winter,Osborn High School,Detroit,MI,High,Hallway,Inside School Building,Yes,Lunch,12:00:00,Single shot fired in hallway,Assistant principal confronted two teens in hallway. One pulled gun and fired a shot that hit the wall then fled the scene. Arrested later.,Anger Over Grade/Suspension/Discipline,Neither,No,No,No,No,No,No,No,No,1.00,<5,
20060113FLMIL,13/01/2006,Winter,Milwee Middle School,Longwood,FL,Middle,Classroom,Inside School Building,Yes,Morning Classes,09:30:00,"Dispute over girl, student had pellet gun and was killed by police",Shooter brought a pellet gun to school and pointed it at another student in the classroom. The two students were involved in a dispute over a girl. There was a planned fight that was going to take place after school. The other student didn't believe it was a real weapon and started wrestling with the shooter. The gun was knocked away and the shooter ran out of the classroom with it. The shooter would not put down the gun when confronted by police and he was shot in the head. Died later in the hospital.,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,,N/A,
20060113ALPIP,13/01/2006,Winter,Pinson Valley High School,Pinson,AL,High,Parking Lot,Outside on School Property,No,Sport Event,22:58:00,Shot during fight in parking lot after basketball game,17YOM shot in the parking lot of the school after a basketball game by a 20YOM. Police were assigned to the game and quickly arrested the shooter.,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,,No,,N/A,
20060118VAINC,18/01/2006,Winter,Indian River High School,Chesapeake,VA,High,Cafeteria,Inside School Building,Yes,Lunch,11:00:00,Fired a targeted victim during dispute,20YOM drove to school during lunch to engage in ongoing conflict with current student just outside the cafeteria. During the dispute the shooter fired several shots that all missed and fled the scene.,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,<10,<10,
20060118TXPAA,18/01/2006,Winter,Passmore Elementary School,Alvin,TX,Elementary,Classroom,Inside School Building,Yes,Morning Classes,11:55:00,Fired gun in pocket during class,An unknown age 6th grade student was playing with a gun in his pocket. It fired and struck him in the leg. Student surrendered to the teacher.,Accidental,Random Shooting,No,No,No,No,No,No,No,No,1.00,<5,
20060118MTFRA,18/01/2006,Winter,Fred Moodry Middle School,Anaconda,MT,Middle,Beside Building,Outside on School Property,Yes,Dismissal,,"Female student in car shot airsoft gun at boy standing outside of school, hit him in face",15YOF student in car shot a boy standing outside of the school with an airsoft gun in the face. She was expelled for the shooting.,Drive-by Shooting,Victims Targeted,No,No,No,No,No,,No,No,1.00,<5,
20060119OHWIC,19/01/2006,Winter,Withrow High School,Cincinnati,OH,High,Parking Lot,Outside on School Property,No,Evening,20:00:00,"Shooting in parking lot behind the school, two parties in different cars, fled the scene",Group of males in 2 different vehicle parked behind the school fired shots at each other. One male in each vehicle was struck. Vehicles fled the scene. One shooter was arrested later at the hospital.,Drive-by Shooting,Victims Targeted,No,No,No,No,No,No,No,No,,N/A,
20060123CAWIV,23/01/2006,Winter,Will C. Wood High School,Vacaville,CA,High,Gym,Outside on School Property,Yes,Morning Classes,09:45:00,Playing with gun outside of school,14 shooter brought gun to school - accidentally discharged near school gym - fragment injured 15YOF student,Accidental,Random Shooting,No,No,No,No,No,No,No,No,1.00,<5,
20060127TXLAG,27/01/2006,Winter,Lakeview Centennial High School,Garland,TX,High,Classroom,Inside School Building,Yes,,,"Accidentally fired gun into floor, fragments injured two female students.",16YOM student accidentally fired gun into floor of classroom. Bullet fragments struck two female students.,Accidental,Random Shooting,No,No,No,No,No,No,No,No,1.00,<5,
20060130MTCMG,30/01/2006,Winter,C M Russell High School,Great Falls,MT,High,Bathroom,Inside School Building,Yes,School Start,08:00:00,Shot self in bathroom,16YOM student shot himself in the school bathroom.,Suicide/Attempted,Victims Targeted,No,No,No,No,,No,No,No,1.00,<5,
20060203CALOC,03/02/2006,Winter,Longfellow Elementary School (bus),Compton,CA,Elementary,School Bus,School Bus,Yes,Before School,08:20:00,"Showing off gun on bus, fired striking other student in arm",9 year old special ed student pulled a gun from his backpack while in the morning bus ride and shot a 10 year old. Shooting classified as accidental,Accidental,Random Shooting,No,No,No,No,No,No,No,No,1.00,<5,
20060209DEWIN,09/02/2006,Winter,William Penn High School,New Castle,DE,High,Parking Lot,Outside on School Property,No,Sport Event,20:50:00,Fight in parking lot following basketball game,Argument and fight between 3 teens and victim with female student in the parking lot following a basketball game. Victim was shot 3 times and suspect fled.,Escalation of Dispute,Victims Targeted,Yes,No,No,No,No,No,No,No,3.00,<5,
20060215PAWEY,15/02/2006,Winter,West York Area High School,York,PA,High,Classroom,Inside School Building,No,Evening,,"Art teacher shot himself in the evening, found the next day in classroom",Well liked art teacher commit suicide in classroom after school. Body was found by students the following day.,Suicide/Attempted,Victims Targeted,No,No,No,No,No,No,No,No,1.00,<5,
20060221PAWEP,21/02/2006,Winter,Westinghouse High School,Pittsburgh,PA,High,Front of School,Outside on School Property,Yes,School Start,07:45:00,Student shot in targeted drive-by outside of school,"16YOM walking into school was shot 5 times by back seat occupant of car that pulled in front of school. When police arrested shooter, the gun was connected to another fatal drive by shooting. The shooter was involved in illegal drug dealing but unclear if high school shooting was connected.",Drive-by Shooting,Victims Targeted,Yes,No,No,No,No,No,,No,5.00,<5,
20060223ORROR,23/02/2006,Winter,Roseburg High School,Roseburg,OR,High,Hallway,Inside School Building,Yes,Before School,07:45:00,Jealousy over girl interested in victim,Shooter fired 4 rounds at the victim from behind then exited school and walked across the street to a restaurant. Shooter put the gun to his head but was talked down and surrender to police. Shooter was jealous that the victim was popular with girls and there had been an ongoing dispute between them. The victim had gotten in trouble recently for spitting on another student on the school bus. ,Escalation of Dispute,Victims Targeted,No,No,No,No,Yes,No,No,No,4.00,<5,
20060310NYISN,10/03/2006,Spring,I S 89 Middle School,New York,NY,Middle,Hallway,Inside School Building,Yes,School Start,08:20:00,Two students with BB guns ambushed another student in stairwell,Two students with bb guns (12 and 14YOMs) ambushed another student in the school stairwell and fired at him multiple times causing minor injuries. Another student was also struck. Both were charged with felony assault.,Escalation of Dispute,Both,No,No,No,No,No,No,No,No,,N/A,
20060314NVPIR,14/03/2006,Spring,Pine Middle School,Reno,NV,Middle,Classroom,Inside School Building,Yes,Morning Classes,09:00:00,"Planned attack, researched Columbine for weeks",Shooter fired 3 rounds from a .38 at a targeted victim who had bullied him. One other student was struck. The shooter only had 3 rounds of ammo. A teacher subdued him. The shooter had studied Columbine and wrote detailed journal entries about it. He was tired of being called stupid by his brothers and classmates. His father had given him a collection of ammunition that included 3 .38 rounds.,Bullying,Both,No,No,No,No,Yes,No,No,Yes,3.00,<5,Yes
20060405DCROW,05/04/2006,Spring,Roosevelt Senior High School,Washington,DC,High,Front of School,Outside on School Property,Yes,Morning Classes,09:15:00,Students shot during drive-by walking into school building,19YOM (believed to be target) and 18YOF were shot during drive-by walking into high school. No suspect was identified. Motive unknown.,Drive-by Shooting,Both,Unknown,No,No,No,No,No,,No,,N/A,
20060418TXWEH,18/04/2006,Spring,Westbury High School (bus),Houston,TX,High,School Bus,School Bus,Yes,After School,17:00:00,Man running across the street fired 2 shots that struck the bus,Unknown male running across the street fired shots. 2 struck the school bus. 2 students were injured when the bus they were riding was struck by two bullets. Shooter was unidentified. No motive known.,Unknown,Random Shooting,No,No,No,No,No,No,,No,2.00,<5,
20060424NCEAC,24/04/2006,Spring,East Chapel Hill High School,Chapel Hill,NC,High,Classroom,Inside School Building,No,Evening,17:00:00,Fired 2 shots at ceiling and held teacher and student hostage in classroom for 2 hours then fled,"17YOM student walked into classroom after school and fired two shots from shotgun into the ceiling. He then took a teacher and student in the classroom hostage for 2:15 before fleeing the scene. He was later arrested and taken to a psychiatric facility. Shooter was well liked, normal student without disciplinary problems.",Hostage/Standoff,Neither,No,Yes,No,No,No,No,No,No,2.00,<5,Yes
20060505FLPAM,05/05/2006,Spring,Parkway Academy,Miramar,FL,High,Parking Lot,Outside on School Property,No,School Event,23:35:00,Fight in parking lot following dance,Students fought during the school dance after water was pouring on a girl. Fight continued later in the parking lot and 19YOM student was shot in the head by an unknown shooter who fled. Multiple police officers were assigned to the school for the dance.,Escalation of Dispute,Victims Targeted,Yes,No,No,No,No,No,No,No,,N/A,
20060522SCBUI,22/05/2006,Spring,Butch Fork High School,Irmo,SC,High,Parking Lot,Outside on School Property,Yes,Morning Classes,10:00:00,"Told girl over phone he was going to kill her next day, SRO confronted him in morning, pulled gun and fired one shot, and was subdued","19YOM called a female student and told her he was going to kill her the next day. She told the SRO and when the shooter arrived at the school, the SRO confronted him in the parking lot. The shooter pulled a handgun and fired one shot before being subdued by the SRO. ",Domestic w/ Targeted Victim,Victims Targeted,No,No,No,No,No,Yes,No,No,1.00,<5,
20060525PANON,25/05/2006,Spring,Northampton Area Senior High School,Northampton,PA,High,Hallway,Inside School Building,Yes,Morning Classes,07:50:00,"Had rifle, knife, smoke bombs, and fireworks. Surrendered to school official in stairwell.","18YOM student was socially isolated, wore black trench coat every day. Teacher smelled smoke and found student in the stairwell with a rifle. Student said he was going to kill himself. Police arrived and after 40 minutes the shooter surrendered. Shooter had rifle, knife, fireworks, and smoke bombs.",Hostage/Standoff,,No,No,No,No,,No,No,Yes,0.00,<5,Yes
20060605CAVEL,05/06/2006,Summer,Venice High School,Los Angeles,CA,High,Parking Lot,Outside on School Property,Yes,Dismissal,15:10:00,Gang member tried to steal silver cross of victim's brother,"Gang member attempted to steal silver cross from victims brother inside school. When the victim fled to the parking lot, the suspect shot victim.",Illegal Activity,Victims Targeted,Yes,No,No,No,No,No,Yes,No,1.00,<5,
20060606INWIG,06/06/2006,Summer,Wirt High School,Gary,IN,High,Auditorium,Inside School Building,No,School Event,,Fight between relatives at graduation,Dispute between relatives of different students at graduation. A 21YOM removed his shirt and wanted to fight a 19YOM. The brother of the 19YOM shot the victim 3 times.,Escalation of Dispute,Victims Targeted,Yes,No,No,No,No,No,No,No,3.00,<5,
20060615MIPED,15/06/2006,Summer,Pershing High School,Detroit,MI,High,Front of School,Outside on School Property,No,Evening,18:05:00,"Students throwing bottles at cars, car chased them down and shot student 3 times","Two students were outside of the school throwing bottles at passing cars. One of the cars stopped, chased the students down, and the driver shot 16YOM student 3 times in the back. Shooter fled and was not identified.",Escalation of Dispute,Victims Targeted,Yes,No,No,No,No,No,No,No,3.00,<5,
20060731FLYOT,31/07/2006,Summer,Young Middle Magnet School,Tampa,FL,Middle,Parking Lot,Outside on School Property,No,Before School,06:20:00,"Dropped off kids, husband and wife were found dead in car in parking lot, believed to be murder/suicide",54YOM and 38YOF were found dead from GSW in their car in the parking lot of the school. Children had been dropped off at school. Police said a murder/suicide was possible.,Murder/Suicide,Victims Targeted,No,No,No,No,No,Yes,No,No,,N/A,
20060815KYJTV,15/08/2006,Summer,J T Alton Middle School,Vine Grove,KY,Middle,Classroom,Inside School Building,Yes,,,"Showing off gun, accidentally fired striking ceiling",13YOM student was showing off handgun in classroom to other students. Accidental discharge striking ceiling. Shooter surrendered to teacher immediately.,Accidental,Neither,No,No,No,No,No,No,No,No,1.00,<5,
20060817TXMEA,17/08/2006,Summer,Mendez Middle School,Austin,TX,Middle,Outside on School Property,Outside on School Property,No,Not a School Day,20:00:00,Shot at school by two rival gang members involved in ongoing dispute with victim,21YOM was shot while school to attend birthday party during dispute with two rival gang members.,Escalation of Dispute,Victims Targeted,Yes,No,No,No,No,No,Yes,No,,N/A,
20060819OHSOY,19/08/2006,Summer,South High School,Youngstown,OH,High,Football Field/Track,Outside on School Property,No,Not a School Day,15:45:00,"Shots fired during fight between adults at football game, part of Ongoing conflict",25YOM shot 31YOM at youth football game when fight escalated as part of an ongoing dispute.,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,<10,<10,
20060820GALYH,20/08/2006,Summer,Lyman Hall Elementary School,Hinesville,GA,High,Basketball Court,Outside on School Property,No,Not a School Day,19:30:00,Shot during fight on basketball court at school,18YOM and 17YOM shot during fight between several teens during a basketball game at the school. Several teens involved fled. No suspect identified.,Escalation of Dispute,Victims Targeted,Yes,No,No,No,No,No,No,No,<10,<10,
20060821INCAN,21/08/2006,Summer,Castle High School,Newburgh,IN,High,Parking Lot,Outside on School Property,Yes,Morning Classes,,Shot himself in car in parking lot after giving suicide note to friend,16YOM shot himself in his car in the parking lot after giving a suicide note to a friend. Student was well liked and not thought to be suicidal.,Suicide/Attempted,Victims Targeted,No,No,No,No,No,No,No,No,1.00,<5,
20060824VTESE,24/08/2006,Summer,Essex Elementary School,Essex Junction,VT,Elementary,Classroom,Inside School Building,Yes,,,Killed ex-girlfriend (teacher) at the school,Shooter targeted and murdered his ex-girlfriend who was a teacher at the school. The school was not in session during the time of the shooting. He later attempted suicide and was apprehended by police. He also shot and killed his ex-girlfriend's mother and injured 2 other people.,Domestic w/ Targeted Victim,Both,No,No,No,No,No,Yes,No,No,,N/A,
20060829DCANW,29/08/2006,Summer,Anacostia Senior High School,Washington,DC,High,Parking Lot,Outside on School Property,Yes,Dismissal,15:15:00,"Fired one shot in parking lot, fled, ditched gun, but was caught by officer at school","16YOM fired one shot in parking lot that struck a car then fled the scene. A police officer assigned to the school witnessed the shooting, then chased and detained the shooter. Shooter threw the gun as he was running but police recovered it.",Escalation of Dispute,Neither,No,No,No,No,No,No,No,No,1.00,<5,
20060830NCORH,30/08/2006,Summer,Orange High School,Hillsborough,NC,High,Parking Lot,Outside on School Property,Yes,Afternoon Classes,13:00:00,"Planned attack, surrendered immediately after first shots to sheriff's deputies in parking lot","Shooter set of cherry bombs as a diversion and started firing sawed off shotgun at the students. The gun jammed and he was tackled by school employees. Shooter was obsessed with Columbine and made videos describing how he would carry out the attack. He wore a Colorado t-shirt and trench coat like the Columbine shooters. Wrote detailed journals about the shooting plan. He has attempted suicide and when he did not die, he became delusion and wrote in his journal that god had spared his life so that he could carry out a grander mission (shooting). Weapons: 9mm, sawed-off 12-gauge shotgun",Indiscriminate Shooting,Random Shooting,No,No,No,No,No,No,No,Yes,8.00,<10,Yes
20060831ALOXO,31/08/2006,Summer,Oxford High School,Oxford,AL,High,Football Field/Track,Outside on School Property,No,Sport Event,21:40:00,Shooting during football game (outside gate to stadium),21YOM was shot by 21YOM outside of the gates of the football stadium during a game. The game was suspended while police searched for the shooter. The shooter was arrested 7 minutes after the shooting. Motive and relationship of shooter/victim unknown.,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,<10,<10,
